investment_type,announced_on,raised_amount_usd,post_money_valuation_usd,investor_count,org_uuid
series_a,2005-03-01,3000000.0,0.0,1.0,f53cb4de-236e-0b1b-dee8-7104a8b018f9
series_c,2007-05-09,20000000.0,0.0,2.0,b2995b09-230b-460e-ee0e-cf8c8ad2cd18
series_b,2004-03-01,18800000.0,0.0,2.0,9a0e860a-7743-28e2-05c0-2b08646d0fe1
series_a,2006-02-01,6000000.0,0.0,1.0,25a80a95-9edc-792a-88b3-c666ba64b181
series_b,2007-02-27,7000000.0,0.0,4.0,301ed09b-263f-660e-fd1c-eaac39b549b9
series_a,2006-11-29,6200000.0,0.0,3.0,301ed09b-263f-660e-fd1c-eaac39b549b9
series_b,2007-04-25,9000000.0,0.0,3.0,3b7e9147-7a9c-802b-4809-7daed9ad6eff
series_a,2006-01-01,3500000.0,0.0,3.0,3b7e9147-7a9c-802b-4809-7daed9ad6eff
series_b,2006-12-01,8500000.0,0.0,3.0,5f2b40b8-d1b3-d323-d81a-b7a8e89553d0
series_a,2005-10-28,2800000.0,0.0,7.0,5f2b40b8-d1b3-d323-d81a-b7a8e89553d0
series_b,2007-05-24,6000000.0,0.0,3.0,932adf20-03c2-9500-6239-515183dbeb8c
series_a,2007-04-01,0.0,0.0,2.0,622e63a9-147d-c538-57e9-03e9afb884e6
series_b,2006-05-01,3000000.0,0.0,2.0,9424e721-4ebf-90cf-39bd-311f128c0236
series_a,2005-04-01,500000.0,0.0,7.0,9424e721-4ebf-90cf-39bd-311f128c0236
series_b,2006-02-01,6500000.0,0.0,4.0,ac32bb92-c70a-d1de-3703-e285c46ecdb5
series_c,2006-08-01,8000000.0,0.0,1.0,ac32bb92-c70a-d1de-3703-e285c46ecdb5
series_a,2007-06-29,5350000.0,0.0,2.0,65787f75-2ed0-7a08-b434-2eb225c1ab67
series_a,2007-07-01,4000000.0,0.0,1.0,bbb6b150-639e-1b33-728d-0cfa1ffc9597
series_c,2006-10-01,10000000.0,0.0,1.0,e4d10a5e-9ec1-88b6-9acf-d8585c89bcb3
series_b,2005-10-01,5000000.0,0.0,1.0,e4d10a5e-9ec1-88b6-9acf-d8585c89bcb3
series_c,2007-07-14,44000000.0,0.0,2.0,98cd9691-c7ca-dd25-0dd4-665b52e9797d
series_a,2005-01-01,15000000.0,0.0,3.0,98cd9691-c7ca-dd25-0dd4-665b52e9797d
series_a,2006-03-01,3200000.0,0.0,4.0,716de5ea-3a3e-fad9-c94a-0b5e05f33e8a
series_b,2007-03-28,8000000.0,0.0,3.0,716de5ea-3a3e-fad9-c94a-0b5e05f33e8a
angel,2006-02-01,50000.0,0.0,1.0,750a84d3-78c7-8e3a-970f-f66e62626ff3
series_c,2007-02-01,15000000.0,0.0,4.0,b62feb13-991c-2ae7-8faa-0b96d9a69ec6
series_b,2004-01-01,8000000.0,0.0,1.0,b62feb13-991c-2ae7-8faa-0b96d9a69ec6
series_a,2004-10-01,1500000.0,0.0,2.0,5c6f4d9e-dc72-e018-ee21-71cd23f698ad
series_b,2005-07-01,7000000.0,0.0,3.0,5c6f4d9e-dc72-e018-ee21-71cd23f698ad
series_c,2007-01-01,12100000.0,0.0,7.0,5c6f4d9e-dc72-e018-ee21-71cd23f698ad
series_a,2007-07-01,2300000.0,0.0,3.0,b5f351ca-6fc1-3661-e3fb-a498ce4b1a47
seed,2007-07-01,700000.0,0.0,0.0,b5f351ca-6fc1-3661-e3fb-a498ce4b1a47
series_a,2006-05-01,5000000.0,0.0,4.0,8249dffa-1ca6-6f99-9f76-d56c83f85f2d
series_a,2007-01-01,1500000.0,0.0,3.0,2c0b76f3-f98d-e778-7fc9-d057f93fe995
series_b,2007-03-01,15000000.0,65000000.0,3.0,2c0b76f3-f98d-e778-7fc9-d057f93fe995
series_a,2006-05-01,1300000.0,0.0,1.0,6293e606-09d2-e1d1-2de7-7072b76cafeb
seed,2007-01-01,500000.0,0.0,1.0,bca6051d-bfab-c24b-bc0b-9ecaabf35feb
seed,2006-03-01,1000000.0,0.0,5.0,239683e5-4cbc-e4a7-8057-d8a6e5b90e52
series_a,2006-08-01,15000000.0,0.0,2.0,239683e5-4cbc-e4a7-8057-d8a6e5b90e52
series_a,2006-05-01,15000000.0,0.0,2.0,18cf5e6e-e986-11c2-fe62-81c6e4b1152d
series_a,2006-09-01,1000000.0,0.0,1.0,0d7c01ed-38ea-0753-d398-9d7d3d07882f
series_a,2007-04-01,1000000.0,0.0,1.0,0d7c01ed-38ea-0753-d398-9d7d3d07882f
series_c,2006-11-15,20000000.0,0.0,5.0,90374c1a-7f5a-5b32-3bb8-c4e5c2d62d9d
series_b,2005-07-01,8000000.0,0.0,4.0,90374c1a-7f5a-5b32-3bb8-c4e5c2d62d9d
series_a,2004-10-28,8000000.0,0.0,4.0,309e0502-ad2f-35ea-ee52-38dcb58702fd
series_b,2006-03-01,11000000.0,0.0,6.0,309e0502-ad2f-35ea-ee52-38dcb58702fd
series_a,2004-06-01,1000000.0,0.0,1.0,10dd03fa-69ff-3a82-6321-c6b16c9a9f41
series_b,2005-04-06,7000000.0,0.0,4.0,10dd03fa-69ff-3a82-6321-c6b16c9a9f41
series_a,2005-02-01,7000000.0,0.0,3.0,032eea86-255c-8c0f-f333-8665f1fefa69
series_b,2006-10-01,4000000.0,0.0,3.0,032eea86-255c-8c0f-f333-8665f1fefa69
series_c,2007-07-12,15000000.0,0.0,3.0,032eea86-255c-8c0f-f333-8665f1fefa69
series_a,2007-08-08,10000000.0,0.0,2.0,e9902eb8-59bb-fe73-2145-634a2220bd78
series_a,2007-07-01,4800000.0,0.0,2.0,a0f5e737-d973-703c-7f66-0fc31d0e4b5b
series_a,2004-07-01,1100000.0,0.0,1.0,57267573-e339-efe8-8d23-b9c3783d091e
series_b,2005-07-01,10000000.0,0.0,2.0,57267573-e339-efe8-8d23-b9c3783d091e
series_c,2006-12-01,18500000.0,0.0,4.0,57267573-e339-efe8-8d23-b9c3783d091e
series_a,2006-04-01,5000000.0,0.0,4.0,4a628e49-6ac3-3d95-0074-7859491273fe
series_b,2004-01-01,9315362.0,0.0,7.0,aeec75a9-d7a3-71e6-94ff-4e5ce16b4d0d
series_c,2006-02-27,12000000.0,0.0,5.0,aeec75a9-d7a3-71e6-94ff-4e5ce16b4d0d
angel,2006-09-11,350000.0,0.0,3.0,0e1154ac-b634-ed9a-8760-f121ae6ada61
seed,2007-02-01,2100000.0,0.0,3.0,0e1154ac-b634-ed9a-8760-f121ae6ada61
series_a,2006-09-01,0.0,0.0,2.0,61fe112e-e4fc-0fa2-dc41-b3e25d0441db
series_a,2004-09-01,4000000.0,0.0,1.0,9bc6d32d-0bd1-6c54-b7b2-d7436e948bc0
series_b,2006-02-01,8000000.0,0.0,2.0,9bc6d32d-0bd1-6c54-b7b2-d7436e948bc0
series_a,2005-12-01,3500000.0,0.0,3.0,1567a263-a0ac-54db-99df-68fdf84f1841
series_b,2007-01-01,9000000.0,0.0,0.0,1567a263-a0ac-54db-99df-68fdf84f1841
series_b,2004-10-01,10000000.0,0.0,1.0,86da6213-5b43-6419-4047-472102ccf66f
series_c,2007-01-29,12800000.0,0.0,3.0,86da6213-5b43-6419-4047-472102ccf66f
series_a,2007-03-01,1600000.0,0.0,2.0,eca38df1-1c83-e9f9-40ef-55c5ba4bd4a7
seed,2006-11-01,250000.0,0.0,1.0,ead31184-8413-76a0-f70f-f8dcd489cdc6
series_a,2002-12-01,6000000.0,0.0,1.0,6857bc58-467b-ef5e-ef40-eb83c55d9797
series_a,2005-07-01,0.0,0.0,0.0,24eecffe-abfb-118f-1361-893373635f3e
series_c,2007-07-01,13500000.0,0.0,5.0,c7102390-0901-e1d7-1805-a1dabc40f6ca
series_a,2007-02-01,10000000.0,0.0,1.0,9402bb49-2f5d-04a8-b2ad-089842dba883
series_a,2006-01-01,14000000.0,0.0,1.0,a506b119-1503-fd51-c31e-44e83a970848
series_b,2007-07-01,21000000.0,0.0,1.0,a506b119-1503-fd51-c31e-44e83a970848
series_unknown,2006-01-01,2500000.0,0.0,1.0,3091d3e8-7934-1e90-7c82-7f1c3caf53cb
series_unknown,2006-12-20,13300000.0,66500000.0,1.0,3091d3e8-7934-1e90-7c82-7f1c3caf53cb
seed,2005-06-01,1000000.0,0.0,7.0,124aba40-70a6-f002-21fd-9e978c1dfdc9
series_a,2006-10-01,1500000.0,0.0,0.0,022bddcc-e01a-a6de-91e9-b93cfcc5a9ee
series_a,2006-03-01,2500000.0,0.0,3.0,4e5b6d5b-128e-5a24-d3bf-e065b056150e
series_a,2006-12-01,3500000.0,0.0,2.0,4e5b6d5b-128e-5a24-d3bf-e065b056150e
series_b,2007-05-07,15000000.0,0.0,3.0,4e5b6d5b-128e-5a24-d3bf-e065b056150e
series_a,2006-07-01,1800000.0,0.0,0.0,d71ee847-cdd5-a8b4-276b-e760694d22fe
series_a,2004-09-01,6600000.0,0.0,2.0,c7102390-0901-e1d7-1805-a1dabc40f6ca
series_b,2006-06-01,8100000.0,0.0,1.0,c7102390-0901-e1d7-1805-a1dabc40f6ca
debt_financing,2006-06-01,1500000.0,0.0,1.0,c7102390-0901-e1d7-1805-a1dabc40f6ca
series_a,2005-03-01,1500000.0,0.0,8.0,3b80fbcc-bf72-de7f-c74f-2973e358ea94
series_a,2006-01-01,10000000.0,0.0,3.0,d5ecc455-7570-1f3f-a8a3-8b8417679c1b
series_b,2006-10-01,40000000.0,0.0,10.0,d5ecc455-7570-1f3f-a8a3-8b8417679c1b
series_c,2007-07-01,12000000.0,0.0,4.0,6515b4b2-6ade-e6ce-a21d-8f7d45998570
series_b,2006-05-01,8000000.0,0.0,4.0,6515b4b2-6ade-e6ce-a21d-8f7d45998570
series_a,2005-09-01,770000.0,0.0,1.0,6515b4b2-6ade-e6ce-a21d-8f7d45998570
series_a,2006-12-26,1500000.0,0.0,2.0,b3ffe48b-ac25-1db2-be02-cf624b56822c
series_a,2006-11-07,7000000.0,0.0,3.0,d1af53ec-866d-eda9-23db-429866757fec
series_a,2006-05-01,5000000.0,0.0,2.0,b9c6842d-e926-ae2c-55fc-f5b46889b9e0
series_b,2007-07-01,11000000.0,0.0,3.0,b9c6842d-e926-ae2c-55fc-f5b46889b9e0
series_b,2006-09-01,7500000.0,0.0,2.0,79296148-4e31-f01b-cf06-881fa75047a3
series_a,2005-03-01,2100000.0,0.0,1.0,79296148-4e31-f01b-cf06-881fa75047a3
series_a,2005-07-01,16000000.0,0.0,2.0,bcc07057-aa37-ad3c-7e12-bb43bc8f80d1
series_a,2004-10-01,1200000.0,0.0,4.0,6f2c4d97-2fdf-d8cd-73be-a7a2332d57a2
series_c,2006-03-01,13500000.0,0.0,2.0,6f2c4d97-2fdf-d8cd-73be-a7a2332d57a2
series_b,2006-12-01,18000000.0,0.0,5.0,d726d9e4-714e-21fc-aa68-f28f034afc19
series_a,2007-07-01,0.0,0.0,0.0,ae6489c1-28b6-db60-a202-88dcac78fdde
series_a,2007-02-01,2000000.0,0.0,3.0,c3772a88-7696-a8eb-d690-36fa52e58be9
series_a,2005-04-01,0.0,0.0,3.0,610de275-55cb-bcc9-730a-4d9b8923907a
series_a,2005-07-01,20000000.0,0.0,3.0,b7989ec0-09c2-44bf-8e02-f7edb0a0a656
series_b,2007-07-01,5000000.0,0.0,3.0,b7989ec0-09c2-44bf-8e02-f7edb0a0a656
series_a,2000-03-01,1200000.0,0.0,3.0,96227e0d-4879-94a1-fc65-96d485f60746
series_a,2001-05-01,300000.0,0.0,3.0,96227e0d-4879-94a1-fc65-96d485f60746
series_a,2006-07-01,0.0,0.0,1.0,11639150-e8c5-dd21-2573-1b2dc7cd7b83
angel,2004-01-01,300000.0,0.0,2.0,200f1b82-93c9-7b1a-c0ed-37d6fda3199f
series_b,2005-06-03,3100000.0,0.0,1.0,200f1b82-93c9-7b1a-c0ed-37d6fda3199f
series_b,2011-03-31,1500000.0,0.0,1.0,31f9d866-3660-5367-8c52-028a7610e441
series_a,2006-05-01,4000000.0,0.0,3.0,8bb63939-c2f7-4619-b78b-64413c516a5d
series_a,2005-12-01,6250000.0,0.0,2.0,678fba1e-90af-eb84-8a13-a8f1512d88d5
series_a,2007-07-01,20000000.0,0.0,1.0,8843b4a1-19c0-390b-507c-e6639ac8e8f4
angel,2005-09-01,1500000.0,0.0,1.0,7eb5e674-2d03-b456-211f-cf08e24a4150
series_a,2005-12-01,7000000.0,0.0,1.0,7eb5e674-2d03-b456-211f-cf08e24a4150
angel,2006-12-01,800000.0,0.0,2.0,60485007-8856-bbac-aa1b-c535c41f5f47
series_a,1999-12-01,2200000.0,0.0,1.0,b62feb13-991c-2ae7-8faa-0b96d9a69ec6
series_a,2000-10-01,6800000.0,0.0,1.0,b62feb13-991c-2ae7-8faa-0b96d9a69ec6
series_a,2006-07-01,0.0,0.0,1.0,266b51e1-990d-2238-4feb-a49ac54b7336
series_a,2005-08-01,5000000.0,0.0,3.0,b14269ea-89b8-2883-fce9-087ffb04d451
series_a,2000-05-01,7700000.0,0.0,1.0,ed54b2d5-f2f1-d4e9-9bbe-40961ff08d44
series_b,2002-03-13,5000000.0,0.0,3.0,ed54b2d5-f2f1-d4e9-9bbe-40961ff08d44
series_d,2005-01-01,10000000.0,0.0,1.0,ed54b2d5-f2f1-d4e9-9bbe-40961ff08d44
series_c,2003-03-01,15500000.0,0.0,1.0,ed54b2d5-f2f1-d4e9-9bbe-40961ff08d44
series_e,2007-07-01,20000000.0,0.0,5.0,ed54b2d5-f2f1-d4e9-9bbe-40961ff08d44
angel,2004-07-01,300000.0,0.0,1.0,cd2ac6f1-38cf-47e2-94d3-2c847c28687d
seed,2007-06-01,250000.0,0.0,1.0,fa2bd476-2f14-dda1-c8bf-b997d71feccd
seed,2006-12-01,0.0,0.0,0.0,505791a5-3533-333f-a17d-4625434ce63a
series_a,2007-07-24,1500000.0,0.0,2.0,fa2bd476-2f14-dda1-c8bf-b997d71feccd
series_a,2007-07-01,6000000.0,0.0,2.0,58d92e46-b4fb-bde9-8917-bb82a507eb2e
series_b,2007-07-25,5000000.0,0.0,2.0,e95cf6be-d512-3d4a-0a28-2a1e7f46c20b
series_a,2006-10-26,6338871.0,0.0,1.0,84a47fd6-8612-e375-0101-70e9e13cb56a
seed,2007-07-01,1500000.0,0.0,3.0,edbfbb52-4487-1d7c-1960-7d95f2e6809e
series_a,2006-12-01,4000000.0,0.0,2.0,0fc2d002-8102-1ecc-59dc-06ef55f6c7f0
series_a,2005-01-01,5000000.0,0.0,3.0,28d6cc0c-4f39-e45e-ac20-bf61cf1b3935
angel,2005-11-01,300000.0,0.0,0.0,0fc2d002-8102-1ecc-59dc-06ef55f6c7f0
series_b,2006-03-01,17000000.0,0.0,4.0,8bade1ee-3832-d1f1-6c4a-4833fdf5e572
series_a,2004-02-12,3700000.0,0.0,2.0,8bade1ee-3832-d1f1-6c4a-4833fdf5e572
series_b,2006-12-01,12000000.0,0.0,4.0,0f2c2560-b0da-f473-9d05-f5f09fa08da2
series_a,2005-09-01,43000000.0,0.0,2.0,84cd039e-448d-30b0-2d4c-8f46456508a3
angel,2006-11-01,0.0,0.0,1.0,8f94d3e1-d746-1c63-5efd-609aa914d70e
series_a,2006-10-01,3500000.0,0.0,0.0,e8b97815-376b-26f3-06d8-b8113c4433b6
angel,2006-05-01,1400000.0,0.0,1.0,908247bf-9e4b-3810-9857-33beffd704ea
series_a,2006-03-01,5500000.0,0.0,2.0,3298610f-a344-0550-9f26-9fc248e2c081
series_a,2007-06-01,2000000.0,0.0,2.0,3298610f-a344-0550-9f26-9fc248e2c081
series_a,2005-12-01,1750000.0,0.0,2.0,b94ed799-af3d-826d-c3aa-3c08b319ac85
series_a,2007-06-01,0.0,0.0,2.0,43e6b569-64a1-48b8-009d-c60cf0be4c02
series_a,2006-06-01,560000.0,0.0,1.0,305d8533-a3d6-5508-8a30-5d4d864d0463
series_a,2007-07-01,10600000.0,0.0,3.0,908247bf-9e4b-3810-9857-33beffd704ea
series_a,2006-03-01,4000000.0,0.0,10.0,e84e93ea-a32f-cc22-e3d8-a44fe89764f8
series_a,2006-09-01,20000000.0,0.0,2.0,8ad68725-eea5-fc63-7658-6b8730ffeb85
series_b,2006-12-28,10000000.0,0.0,3.0,e84e93ea-a32f-cc22-e3d8-a44fe89764f8
seed,2005-06-01,100000.0,0.0,1.0,0954d5cd-96d1-9017-901a-0b28284f06f7
series_a,2007-07-01,2800000.0,0.0,1.0,69822cf3-bea5-55dc-8378-d483719ee99e
series_unknown,2007-05-01,250000.0,0.0,1.0,69822cf3-bea5-55dc-8378-d483719ee99e
seed,2007-01-01,15000.0,0.0,1.0,8d374874-924f-bbfa-86b4-0d591373faef
series_a,2006-12-01,3200000.0,0.0,2.0,8a43e1cb-4958-3ef9-b471-38cc872cef96
seed,2006-02-01,700000.0,0.0,1.0,8a43e1cb-4958-3ef9-b471-38cc872cef96
series_b,2006-09-01,7000000.0,0.0,4.0,7a629f5d-d294-5c57-8fbc-5509dfb05df6
series_c,2007-07-01,29000000.0,0.0,5.0,7a629f5d-d294-5c57-8fbc-5509dfb05df6
series_a,2007-06-19,10000000.0,0.0,3.0,96e3d539-f920-139c-0436-7d5fe9af9098
series_a,2004-10-01,3200000.0,0.0,3.0,71256ce3-d5e9-84bb-d244-b57d8122899a
series_b,2005-10-01,7000000.0,0.0,4.0,71256ce3-d5e9-84bb-d244-b57d8122899a
series_c,2007-07-01,10300000.0,0.0,7.0,71256ce3-d5e9-84bb-d244-b57d8122899a
angel,2006-07-01,1500000.0,0.0,0.0,7dc6c48b-a55c-1c6b-ea45-cb4c78028451
seed,2005-12-01,0.0,0.0,1.0,03af436e-0002-191e-e531-c18082a70c95
series_d,2001-02-16,90000000.0,0.0,5.0,96ab87ca-00b5-2ebc-f218-86262954e320
series_a,2006-10-01,5500000.0,0.0,1.0,db1ac67c-e71d-a3c4-47c3-683dccf24961
series_a,2005-06-01,21000000.0,0.0,3.0,0211e5cb-0f47-7275-0e73-bc0f5628615a
series_a,2006-01-01,5400000.0,0.0,2.0,c2ba72ad-90df-961a-faaf-e140b7fec7a6
series_b,2007-07-01,10000000.0,0.0,1.0,c2ba72ad-90df-961a-faaf-e140b7fec7a6
angel,2005-12-01,0.0,0.0,1.0,96e3d539-f920-139c-0436-7d5fe9af9098
series_a,2005-03-01,5500000.0,0.0,2.0,5feb6981-348c-dfc0-0504-dcfe73a331ce
series_b,2005-11-30,16200000.0,0.0,6.0,5feb6981-348c-dfc0-0504-dcfe73a331ce
series_c,2007-06-01,9000000.0,0.0,8.0,bc1cb118-daf1-29a3-3caa-af1fbe08cbcf
series_a,2004-07-01,1000000.0,0.0,1.0,e4d10a5e-9ec1-88b6-9acf-d8585c89bcb3
series_c,2007-01-17,59500000.0,200000000.0,11.0,5feb6981-348c-dfc0-0504-dcfe73a331ce
series_b,2006-09-21,5000000.0,0.0,1.0,5feb6981-348c-dfc0-0504-dcfe73a331ce
angel,2007-01-01,600000.0,0.0,4.0,b24a5cfc-baad-14ab-f831-25862e0672c1
series_a,2004-07-01,2500000.0,0.0,2.0,02bd1877-24f7-dce9-d8f7-f3a5ab10ab47
series_b,2005-11-01,8000000.0,0.0,1.0,02bd1877-24f7-dce9-d8f7-f3a5ab10ab47
series_a,1999-12-14,7500000.0,0.0,6.0,51469caa-39ed-131d-1670-31eeb563bde4
series_b,2000-05-01,36000000.0,0.0,7.0,51469caa-39ed-131d-1670-31eeb563bde4
seed,2007-04-15,15000.0,0.0,1.0,1321649b-74c2-76eb-fc01-2f38ffcdf9ff
series_a,2006-03-27,8500000.0,0.0,3.0,da372c94-3d71-305e-48ca-382250448ec8
series_a,2007-08-01,0.0,0.0,1.0,ff9aad78-dde3-4857-fea6-66e5c1ce98dd
angel,2006-02-01,1000000.0,0.0,1.0,f1f92e31-3440-8a82-9508-8e5e32dfd212
series_a,2006-06-01,8930000.0,0.0,2.0,8c57c3c2-e65b-e45b-c754-89dc9f85580a
series_b,2007-03-01,12000000.0,0.0,3.0,8c57c3c2-e65b-e45b-c754-89dc9f85580a
series_a,2007-06-01,3500000.0,0.0,5.0,9b6d3860-edaa-a093-4732-54c98a82803e
series_c,2007-08-01,30000000.0,0.0,8.0,634a9431-ca3d-26f5-8483-e6852101c2ea
series_b,2006-08-01,20000000.0,0.0,6.0,634a9431-ca3d-26f5-8483-e6852101c2ea
series_a,2007-02-01,4500000.0,0.0,1.0,427ad1b8-60ba-9b7a-6e1e-a8a9ea0a38f4
series_a,2004-12-01,440000.0,0.0,2.0,2de58f76-bbba-cbab-01d4-f1d3b63cddc4
series_b,2005-06-01,1000000.0,0.0,0.0,2de58f76-bbba-cbab-01d4-f1d3b63cddc4
series_c,2006-05-01,4100000.0,0.0,1.0,2de58f76-bbba-cbab-01d4-f1d3b63cddc4
series_a,2007-12-19,18000000.0,0.0,5.0,2c022ee7-ed83-b713-bb21-e16e49d5b622
seed,2007-04-15,15000.0,0.0,1.0,9e3b3170-f33c-ed69-760e-eef17b2a7ff6
series_b,2006-03-01,2000000.0,0.0,1.0,3b80fbcc-bf72-de7f-c74f-2973e358ea94
series_c,2007-03-01,1500000.0,0.0,1.0,3b80fbcc-bf72-de7f-c74f-2973e358ea94
series_a,2006-06-01,0.0,0.0,1.0,d72b3ad9-64ea-0e05-f55f-bf9d8f82c534
series_a,2007-08-01,36600000.0,0.0,3.0,992a336f-6710-fc12-5856-15bdd1a6eb5c
series_a,2006-01-01,5000000.0,0.0,3.0,9964e4ba-5128-c82e-421f-ce9b398fe4de
